RoomName,Temperature,Humidity,CO2,VOC,VOCIndex,Illumination,PeopleCount,CallTypes,Connected,PendingUpdate,Timestamp
SJ - Senja,22.024999618530273,23.923999786376953,400,47,0,0,0,None,True,False,2025-05-05 17:51:00
SJ - Hjemmekontor,21.78759765625,33.965057373046875,0,0,31,127,0,None,True,False,2025-05-05 17:51:00
SJ - Kvist,24.06100082397461,21.312999725341797,400,68,0,100,0,None,True,False,2025-05-05 17:51:00
SJ - Dovre,22.092010498046875,42.27054214477539,0,0,33,9,0,None,True,False,2025-05-05 17:51:00
SJ - Knapp,21.226821899414062,35.87701416015625,0,0,48,100,0,None,True,False,2025-05-05 17:51:00
SJ - Molde,20.516517639160156,36.7910270690918,0,0,46,182,0,None,True,False,2025-05-05 17:51:00
SJ - Roros,24.174999237060547,33.925384521484375,400,27,36,94,0,None,True,False,2025-05-05 17:51:00
SJ - Aurland,22.607999801635742,33.546958923339844,400,216,20,128,0,None,True,False,2025-05-05 17:51:00
SJ - Voss,19.824905395507812,38.94712829589844,0,0,33,172,0,None,True,False,2025-05-05 17:51:00
SJ - Nordkapp,22.736000061035156,21.29599952697754,400,183,38,90,0,None,True,False,2025-05-05 17:51:00
SJ-Reine,23.53131866455078,31.801326751708984,0,0,150,370,0,None,True,False,2025-05-05 17:51:00
SJ - Koblet,23.909000396728516,22.586000442504883,455,59.99999999999999,0,0,0,None,True,False,2025-05-05 17:51:00
SJ - Hygge,22.40999984741211,20.3700008392334,400,31,0,0,0,None,True,False,2025-05-05 17:51:00
SJ - Rokeri,23.10406494140625,33.11207580566406,0,0,41,194,0,None,True,False,2025-05-05 17:51:00
SJ - Aurora,22.27092742919922,34.63340377807617,0,0,38,206,0,None,True,False,2025-05-05 17:51:00
SJ - Telemark,21.68199920654297,24.493999481201172,402,371,0,256,0,None,True,False,2025-05-05 17:51:00
SJ - Bergen,22.639999389648438,23.10700035095215,443,144,0,0,0,None,True,False,2025-05-05 17:51:00
SJ - Rodane,22.436485290527344,38.31692886352539,0,0,36,81,0,None,True,False,2025-05-05 17:51:00
SJ - Lobby,20.68474578857422,38.15213394165039,0,0,43,173,0,None,True,False,2025-05-05 17:51:00
SJ - Lyngen,22.222854614257812,39.13176345825195,0,0,37,20,0,None,True,False,2025-05-05 17:51:00
SJ - Sund,24.22599983215332,36.8673210144043,400,118,35,42,0,None,True,False,2025-05-05 17:51:00
SJ - Nidarnos,27.01099967956543,20.371999740600586,410,153,54,1253,0,None,True,False,2025-05-05 17:51:00
SJ - Alta,23.861000061035156,40.40223693847656,400,119.99999999999999,42,228.59898376464844,0,None,True,False,2025-05-05 17:51:00
SJ - Envoy Frame Demo,21.998550415039062,42.587928771972656,0,0,47,222,0,None,True,False,2025-05-05 17:51:00
SJ - Strand,25,20.988000869750977,476,139,70,986.3699951171875,0,None,True,True,2025-05-05 17:51:00
SJ - Bryggen,23.15203857421875,36.90753173828125,404,127.00000000000001,0,203.6071014404297,2,None,True,False,2025-05-05 17:51:00
SJ - Oslo,25.05500030517578,17.93600082397461,400,409,43,56,0,None,True,False,2025-05-05 17:51:00
SJ - Holme,22.788970947265625,32.12481689453125,0,0,49,144,0,None,True,False,2025-05-05 17:51:00
SJ - Lofoten,25.0049991607666,27.9591064453125,400,148,72,319,0,None,True,False,2025-05-05 17:51:00
SJ - Telemark,23.549999237060547,24.275999069213867,400,48,0,256,0,None,True,False,2025-05-05 17:52:00
SJ - Bryggen,23.262710571289062,36.77397155761719,424,142,0,205.98411560058594,0,None,True,False,2025-05-05 17:52:00
SJ - Holme,22.788970947265625,32.12481689453125,0,0,49,144,0,None,True,False,2025-05-05 17:52:00
SJ - Sund,24.22599983215332,36.8673210144043,400,118,35,42,0,None,True,False,2025-05-05 17:52:00
SJ - Kvist,24.06100082397461,21.312999725341797,400,68,0,100,0,None,True,False,2025-05-05 17:52:00
SJ - Dovre,22.092010498046875,42.27054214477539,0,0,33,9,0,None,True,False,2025-05-05 17:52:00
SJ - Strand,24.347000122070312,20.990999221801758,403,95,70,347.6499938964844,0,None,True,True,2025-05-05 17:52:00
SJ - Hygge,22.40999984741211,20.3700008392334,400,31,0,0,0,None,True,False,2025-05-05 17:52:00
SJ - Aurland,23.097999572753906,21.809999465942383,400,22,21,137,0,None,True,False,2025-05-05 17:52:00
SJ - Nordkapp,22.736000061035156,21.29599952697754,400,183,38,77,0,None,True,False,2025-05-05 17:52:00
SJ - Stavern,21.60334014892578,32.88929748535156,0,0,31,145,0,None,True,False,2025-05-05 17:52:00
SJ - Knapp,21.226821899414062,35.87701416015625,0,0,48,100,0,None,True,False,2025-05-05 17:52:00
SJ - Molde,20.516517639160156,36.7910270690918,0,0,46,187,0,None,True,False,2025-05-05 17:52:00
SJ - Koblet,23.909000396728516,22.586000442504883,455,59.99999999999999,0,0,0,None,True,False,2025-05-05 17:52:00
SJ-Reine,23.53131866455078,31.801326751708984,0,0,150,370,0,None,True,False,2025-05-05 17:52:00
SJ - Senja,22.145999908447266,23.908000946044922,419,82,0,0,0,None,True,False,2025-05-05 17:52:00
SJ - Aurora,22.27092742919922,34.63340377807617,0,0,38,206,0,None,True,False,2025-05-05 17:52:00
SJ - Envoy Frame Demo,21.998550415039062,42.587928771972656,0,0,47,222,1,None,True,False,2025-05-05 17:52:00
SJ - Bergen,22.639999389648438,23.10700035095215,443,144,0,0,0,None,True,False,2025-05-05 17:52:00
SJ - Rodane,22.436485290527344,38.83420944213867,0,0,39,81,0,None,True,False,2025-05-05 17:52:00
SJ - Roros,23.829999923706055,20.906999588012695,400,73,36,94,0,None,True,False,2025-05-05 17:52:00
SJ - Lyngen,22.222854614257812,39.13176345825195,0,0,37,20,0,None,True,False,2025-05-05 17:52:00
SJ - Nidarnos,27.01099967956543,20.371999740600586,410,153,54,1253,0,None,True,False,2025-05-05 17:52:00
SJ - Alta,23.861000061035156,22.308000564575195,400,119.99999999999999,42,228.59898376464844,0,None,True,False,2025-05-05 17:52:00
SJ - Hjemmekontor,21.78759765625,33.965057373046875,0,0,31,127,0,None,True,False,2025-05-05 17:52:00
SJ - Voss,19.824905395507812,38.94712829589844,0,0,33,172,0,None,True,False,2025-05-05 17:52:00
SJ - Lobby,20.68474578857422,38.15213394165039,0,0,43,173,0,None,True,False,2025-05-05 17:52:00
SJ - Rokeri,23.10406494140625,33.11207580566406,0,0,41,194,0,None,True,False,2025-05-05 17:52:00
SJ - Oslo,22.256000518798828,22.357999801635742,400,119.99999999999999,41,305,0,None,True,False,2025-05-05 17:52:00
SJ - Lofoten,25.0049991607666,28.94099998474121,400,148,72,319,0,None,True,False,2025-05-05 17:52:00
